header: ['rtp_payload_size', 'num_packets', 'overhead_in_bytes', 'udp_data_in_bytes', 'percent_of_overhead']
0,128.0,69685.0,1393700.0,10411936.0,0.13385598989467473
0,256.0,35009.0,700180.0,9649064.0,0.07256455133886562
0,512.0,17650.0,353000.0,9267166.0,0.03809147262496431
0,769.0,11841.0,236820.0,9139371.0,0.02591206769043515
0,1024.0,8971.0,179420.0,9076231.0,0.019768117404680423
0,1280.0,7258.0,145160.0,9038545.0,0.01606010701943731
0,2048.0,4656.0,93120.0,8981275.0,0.010368238362593284
0,4096.0,2454.0,49080.0,8932587.0,0.00549448888659019
0,8192.0,1415.0,28300.0,8909551.0,0.003176366575599601
